"MUSIC","TOTAL1","COUNTS","BOOK_CD","CHAPTER_CD","VERSE_CD","SEQ_NO","NOTES","SYLL_VERSE"
"e f d g# e ^A tar,B B rev,pas,B z-q,f g# e ",1,1,"GENESIS","008","020",1,"e f d g e ^A B f g e ",39
"g# B ^A paz,t-g,qad,azl,c d f g# f e ",1,1,"GENESIS","008","022",1,"g B ^A c d f g f e ",31
"e B z-q,g# ^A c d f g# f e ",2,1,"GENESIS","009","001",1,"e B g ^A c d f g f e ",29
"e C pas,e z-q,C B z-q,g# B ^A t-q,qad,c d e f g# f e ",1,1,"GENESIS","009","002",1,"e C e C B g B ^A c d e f g f e ",47
"e pas,pas,B z-q,f g# ^A B z-q,f g# e ",1,1,"GENESIS","009","003",1,"e B f g ^A B f g e ",26
"e z-g,f g# f e ",4,2,"GENESIS","009","004",1,"e f g f e ",12
"e qad,C e pas,z-q,f g# ^A B rev,pas,B z-q,g# f e ",1,1,"GENESIS","009","005",1,"e C e f g ^A B g f e ",40
"e g# B ^A f g# e ",29,5,"GENESIS","009","007",1,"e g B ^A f g e ",15
"e C pas,z-q,f g# e ",17,2,"GENESIS","009","008",1,"e C f g e ",17
"e z-g,f d g# ^A e g# e ",1,1,"GENESIS","009","009",1,"e f d g ^A e g e ",22
"e qad,C e pas,B z-q,c d e f g# ^A pas,B z-q,g# f e ",1,1,"GENESIS","009","010",1,"e C e B c d e f g ^A B g f e ",40
"e C pas,z-q,c d g# B ^A e f d g# f e ",1,1,"GENESIS","009","011",1,"e C c d g B ^A e f d g f e ",38
"e B rev,C e pas,B rev,pas,B z-q,d f g# B ^A g# e ",1,1,"GENESIS","009","012",1,"e B C e B d f g B ^A g e ",38
"e z-g,g# ^A e pas,B z-q,g# f e ",1,1,"GENESIS","009","013",1,"e g ^A e B g f e ",23
"e z-g,e f g# ^A f g# e ",1,1,"GENESIS","009","014",1,"e f g ^A f g e ",22
"e B rev,C pas,B z-q,d f g# ^A e qad,C pas,pas,z-q,g# e ",1,1,"GENESIS","009","015",1,"e B C B d f g ^A e C g e ",44
"e f g# ^A rev,pas,B z-q,B z-q,pas,B z-q,g# f e ",1,1,"GENESIS","009","016",1,"e f g ^A B g f e ",40
"e f g# ^A C e pas,B z-q,z-g,f g# f e ",1,1,"GENESIS","009","017",1,"e f g ^A C e B f g f e ",32
"e B rev,e pas,z-q,g# B ^A z-g,g# f e ",1,1,"GENESIS","009","018",1,"e B e g B ^A g f e ",28
"e f g# ^A g# f e ",74,10,"GENESIS","009","019",1,"e f g ^A g f e ",19
"e f g# B ^A g# e ",42,10,"GENESIS","009","020",1,"e f g B ^A g e ",15
"e f g# ^A g# f e ",74,10,"GENESIS","009","021",1,"e f g ^A g f e ",18
"e rev,C B z-q,g# B ^A f e g# e ",1,1,"GENESIS","009","022",1,"e C B g B ^A f e g e ",22
"e t-q,qad,azl,rev,pas,pas,B z-q,e pas,B z-q,z-g,g# B ^A pas,B z-q,f g# f e ",1,1,"GENESIS","009","023",1,"e B e B g B ^A B f g f e ",53
"e f g# ^A z-g,d f g# f e ",2,1,"GENESIS","009","024",1,"e f g ^A d f g f e ",22
"e g# B ^A f g# f e ",30,4,"GENESIS","009","025",1,"e g B ^A f g f e ",18
"e z-g,f g# B ^A f g# f e ",2,1,"GENESIS","009","026",1,"e f g B ^A f g f e ",20
"C pas,z-q,g# ^A f g# f e ",2,1,"GENESIS","009","027",1,"C g ^A f g f e ",25
"e g# B ^A C pas,z-q,g# e ",1,1,"GENESIS","009","028",1,"e g B ^A C g e ",21
"e pas,z-q,C pas,z-q,g# ^A e ",1,1,"GENESIS","009","029",1,"e C g ^A e ",23
"e pas,pas,B z-q,g# B ^A f d g# f e ",2,1,"GENESIS","010","001",1,"e B g B ^A f d g f e ",27
"e B z-q,B z-q,g# B ^A g# e ",3,1,"GENESIS","010","002",1,"e B g B ^A g e ",24
"e g# ^A f g# e ",56,4,"GENESIS","010","003",1,"e g ^A f g e ",14
"e f g# B ^A g# e ",42,10,"GENESIS","010","004",1,"e f g B ^A g e ",16
"t-g,tar,C pas,z-q,g# ^A g# e ",1,1,"GENESIS","010","005",1,"C g ^A g e ",28
"e g# ^A f g# f e ",36,5,"GENESIS","010","006",1,"e g ^A f g f e ",13
"e B z-q,pas,e z-q,f g# ^A f g# f e ",1,1,"GENESIS","010","007",1,"e B e f g ^A f g f e ",27
